ID,MIN_TEMPERATURE,MAX_TEMPERATURE,MEAN_TEMPERATURE,TOTAL_PRECIPITATION,SPEED_MAX_GUST
1012710.2016.1.1,0.7,4.2,2.5,0,37
1012710.2016.1.2,0.1,4.1,2.1,0,32
1012710.2016.1.3,0.9,4.7,2.8,0,35
1012710.2016.1.4,2.2,4,3.1,0,0
1012710.2016.1.5,2.1,4.5,3.3,0.2,37
1012710.2016.1.6,3.8,8.5,6.2,0,32
1012710.2016.1.7,3.4,5.9,4.7,0,0
1012710.2016.1.8,4.9,6.5,5.7,0,0
1012710.2016.1.9,2.3,6.4,4.4,0,0
1012710.2016.1.10,4.4,7.5,6,0,0
1012710.2016.1.11,2.3,6,4.2,0.6,33
1012710.2016.1.12,4.9,9.8,7.4,5,0
1012710.2016.1.13,7.7,9.1,8.4,0.6,41
1012710.2016.1.14,3.4,8.3,5.9,0,0
1012710.2016.1.15,2.9,7,5,0,0
1012710.2016.1.16,6.8,10.2,8.5,4.8,33
1012710.2016.1.17,6.7,10.4,8.6,3.8,33
1012710.2016.1.18,5.5,10,7.8,1.6,37
1012710.2016.1.19,3.9,8.8,6.4,0.6,0
1012710.2016.1.20,3.2,10.1,6.7,1.4,37
1012710.2016.1.21,7.5,10.4,9,23.2,32
1012710.2016.1.22,7.5,12.2,9.9,3.8,44
1012710.2016.1.23,7.1,10,8.6,0,39
1012710.2016.1.24,2.3,8.9,5.6,0,0
1012710.2016.1.25,5.7,8.3,7,0,0
1012710.2016.1.26,7.5,10.4,9,4.4,0
1012710.2016.1.27,9.3,11.9,10.6,1.4,0
1012710.2016.1.28,7.6,11.4,9.5,14.6,59
1012710.2016.1.29,6.8,9.3,8.1,3.2,61
1012710.2016.1.30,3.6,8,5.8,2.6,46
1012710.2016.1.31,3.3,7,5.2,3.6,0
1012710.2016.2.1,1.6,7.7,4.7,0.4,0
1012710.2016.2.2,4.1,6.9,5.5,0,0
1012710.2016.2.3,5.7,8.5,7.1,2,41
1012710.2016.2.4,6.1,8.5,7.3,3.2,32
1012710.2016.2.5,7.2,10.4,8.8,6.8,67
1012710.2016.2.6,3.7,8.4,6.1,0.8,61
1012710.2016.2.7,3.7,8.7,6.2,0,0
1012710.2016.2.8,6.1,12.7,9.4,0,0
1012710.2016.2.9,6.7,13.3,10,0,0
1012710.2016.2.10,6.3,11.9,9.1,2.4,0
1012710.2016.2.11,6,9.3,7.7,2,37
1012710.2016.2.12,8.9,13.1,11,12.6,44
1012710.2016.2.13,6.4,10.1,8.3,9,54
1012710.2016.2.14,7,12.4,9.7,3,48
1012710.2016.2.15,8,10.7,9.4,71.2,48
1012710.2016.2.16,5.7,11.5,8.6,0.6,32
1012710.2016.2.17,7.4,9.6,8.5,6.4,33
1012710.2016.2.18,7.2,10.2,8.7,1,0
1012710.2016.2.19,5.9,9.7,7.8,1.4,65
1012710.2016.2.20,3.5,9,6.3,0.4,35
1012710.2016.2.21,4.4,8.6,6.5,0.2,35
1012710.2016.2.22,3.9,9.1,6.5,8.8,0
1012710.2016.2.23,3.5,10,6.8,0.2,37
1012710.2016.2.24,6.2,11.7,9,0,0
1012710.2016.2.25,3.9,13.4,8.7,0,0
1012710.2016.2.26,5.5,9.1,7.3,0.6,0
1012710.2016.2.27,7.2,10.5,8.9,0.2,0
1012710.2016.2.28,6.6,10.4,8.5,3.8,72
1012710.2016.2.29,6,10.6,8.3,2,37
1012710.2016.3.1,7.1,10.5,8.8,11.4,59
1012710.2016.3.2,7,10.7,8.9,2.6,35
1012710.2016.3.3,7.6,12.5,10.1,5.4,54
1012710.2016.3.4,7.4,12.8,10.1,0.2,33
1012710.2016.3.5,6.6,14.7,10.7,2,0
1012710.2016.3.6,8.4,12.6,10.5,0.2,50
1012710.2016.3.7,6,9.8,7.9,6.2,37
1012710.2016.3.8,4,10.4,7.2,0,0
1012710.2016.3.9,6.8,9,7.9,14.8,48
1012710.2016.3.10,6.8,11,8.9,12.2,57
1012710.2016.3.11,6.5,9.6,8.1,0,0
1012710.2016.3.12,5.6,10.4,8,0.2,37
1012710.2016.3.13,4.4,9.9,7.2,5,91
1012710.2016.3.14,4.9,8.1,6.5,3.2,48
1012710.2016.3.15,5.5,9.4,7.5,0,39
1012710.2016.3.16,2.4,10.1,6.3,0,0
1012710.2016.3.17,3,11.3,7.2,0,48
1012710.2016.3.18,7.2,13,10.1,0,33
1012710.2016.3.19,9.2,13.9,11.6,0,0
1012710.2016.3.20,8.5,11.5,10,0.4,0
