Trap_Number,Year,Month,Range_Begin,Range_End,Collection_Date,Group,Biomass,Biomass_Total,Percent_Biomass,Individual_Count,Count_Total
1,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Hymenoptera,1.18,9.15,12.9,127,1046
1,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Diptera,1.83,9.15,20.01,476,1046
1,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Lepidoptera,5.48,9.15,59.87,248,1046
1,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Hemiptera,0.06,9.15,0.7,58,1046
1,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Coleoptera,0.56,9.15,6.13,40,1046
1,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Other,0.04,9.15,0.39,97,1046
2,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Hymenoptera,2.69,10.11,26.66,257,990
2,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Diptera,1.76,10.11,17.46,244,990
2,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Lepidoptera,4.77,10.11,47.15,269,990
2,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Hemiptera,0.2,10.11,2.02,80,990
2,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Coleoptera,0.41,10.11,4.09,87,990
2,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Other,0.27,10.11,2.63,53,990
3,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Hymenoptera,0.52,1.99,25.96,95,557
3,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Diptera,0.08,1.99,3.92,108,557
3,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Lepidoptera,0.67,1.99,33.5,54,557
3,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Hemiptera,0.03,1.99,1.51,39,557
3,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Coleoptera,0.61,1.99,30.84,158,557
3,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Other,0.09,1.99,4.28,103,557
4,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Hymenoptera,0.67,5.19,12.85,172,1132
4,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Diptera,1.71,5.19,32.99,516,1132
4,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Lepidoptera,1.54,5.19,29.62,72,1132
4,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Hemiptera,0.04,5.19,0.81,37,1132
4,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Coleoptera,1.01,5.19,19.56,283,1132
4,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Other,0.22,5.19,4.16,52,1132
5,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Hymenoptera,3.46,28.74,12.04,1167,4144
5,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Diptera,5.06,28.74,17.6,1729,4144
5,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Lepidoptera,17.83,28.74,62.04,949,4144
