trap_number,latitude,longitude
1,48°24′19.8701″,-123°33′21.3825″
2,48°23′47.2428″,-123°34′6.3267″
3,48°23′29.5436″,-123°34′34.1539″
4,48°22′46.7819″,-123°35′9.5595″
5,48°23′3.5567″,-123°33′16.2336″
6,48°22′11.3156″,-123°32′1.6113″
7,48°22′27.3518″,-123°32′17.4123″
8,48°22′16.1411″,-123°33′25.1513″
9,48°21′31.5438″,-123°34′35.4979″
10,48°22′22.8000″,-123°32′5.9999″
11,48°23′11.7224″,-123°32′30.0531″
12,48°21′16.8023″,-123°33′25.8695″
13,48°23′28.5940″,-123°32′57.0983″
14,48°22′21.3059″,-123°33′57.7102″
15,48°22′50.4664″,-123°31′26.8201″
16,48°24′59.9873″,-123°38′13.5073″
17,48°21′14.8168″,-123°32′48.1251″
18,48°22′14.4895″,-123°31′52.2609″
19,48°23′23.4576″,-123°30′14.2268″
20,48°22′45.8311″,-123°33′44.5944″
