Id,lat_dms,long_dms,HISTO_1,HISTO_2,HISTO_7,HISTO_8,HISTO_9,HISTO_10,HISTO_11,HISTO_12,HISTO_14,HISTO_15,HISTO_16,HISTO_17,HISTO_18,HISTO_22
"1",48°24′19.8701″,-123°33′21.3825″,0,0,131,846,218,1105,7138,21521,11,0,436,0,0,0
"2",48°23′47.2428″,-123°34′6.3267″,0,0,483,867,743,1956,3884,22150,219,624,251,0,214,0
"3",48°23′29.5436″,-123°34′34.1539″,0,0,615,684,1245,2742,5186,18249,596,1646,381,0,59,0
"4",48°22′46.7819″,-123°35′9.5595″,0,417,87,1219,519,1192,3378,24114,39,423,16,0,0,0
"5",48°23′3.5567″,-123°33′16.2336″,0,0,8,336,333,759,6686,23273,0,0,0,0,0,0
"6",48°22′11.3156″,-123°32′1.6113″,0,0,18,1048,594,683,4101,12104,0,0,28,12829,0,0
"7",48°22′27.3518″,-123°32′17.4123″,0,0,167,4475,824,1425,5793,7429,164,0,545,10575,0,0
"8",48°22′16.1411″,-123°33′25.1513″,0,0,119,2358,1167,2635,4844,18840,324,552,551,0,7,0
"9",48°21′31.5438″,-123°34′35.4979″,0,0,586,5258,1140,3473,3609,14674,841,1513,309,0,0,0
"10",48°22′22.8000″,-123°32′5.9999″,0,0,59,2159,1512,1564,3796,11729,591,678,0,9307,0,0
"11",48°23′11.7224″,-123°32′30.0531″,0,589,172,1566,4486,4397,7062,9237,769,0,494,2610,0,10
"12",48°21′16.8023″,-123°33′25.8695″,0,0,2534,1547,3037,4199,7084,10455,731,892,616,0,291,0
"13",48°23′28.5940″,-123°32′57.0983″,0,0,2506,5623,1786,2352,6732,9168,1188,768,262,1019,0,0
"14",48°22′21.3059″,-123°33′57.7102″,0,0,783,7144,1693,1264,5454,14643,205,0,179,0,16,0
"15",48°22′50.4664″,-123°31′26.8201″,0,413,95,3853,182,991,4921,5362,441,310,62,14771,0,0
"16",48°24′59.9873″,-123°38′13.5073″,0,4966,0,0,3109,348,9572,11078,237,1958,131,0,0,0
"17",48°21′14.8168″,-123°32′48.1251″,6,300,1389,2703,1722,4147,11800,3301,1298,2250,2479,0,0,1
"18",48°22′14.4895″,-123°31′52.2609″,0,0,37,980,1960,2771,7019,10916,104,0,0,7604,0,0
"19",48°23′23.4576″,-123°30′14.2268″,0,0,97,6273,769,3515,5938,8607,613,1224,1472,2876,0,0
"20",48°22′45.8311″,-123°33′44.5944″,0,0,302,2326,571,5244,10177,11497,510,408,346,10,1,0
