Id,lat_dms,long_dms,HISTO_1,HISTO_2,HISTO_5,HISTO_6,HISTO_7,HISTO_8,HISTO_9,HISTO_10,HISTO_11,HISTO_12,HISTO_13,HISTO_14,HISTO_15,HISTO_16,HISTO_17,HISTO_18,HISTO_22
"1",48°24′19.8701″,-123°33′21.3825″,0,0,0,0,2285,12862,6043,14603,38664,112476,0,2036,4352,2837,0,75,0
"2",48°23′47.2428″,-123°34′6.3267″,0,110,0,0,3109,10309,8296,13823,35471,115026,0,1284,2717,686,0,5396,0
"3",48°23′29.5436″,-123°34′34.1539″,0,0,0,0,4971,12408,7541,16245,33764,112911,0,2395,3842,1965,0,191,0
"4",48°22′46.7819″,-123°35′9.5595″,0,903,0,0,1295,12039,5745,10011,30727,131252,0,1079,1838,1342,0,2,0
"5",48°23′3.5567″,-123°33′16.2336″,0,0,0,0,613,8889,3524,7696,60779,113667,0,715,0,231,0,102,0
"6",48°22′11.3156″,-123°32′1.6113″,0,1669,111,24,281,6549,9412,8803,42163,46349,0,953,0,1001,78660,0,253
"7",48°22′27.3518″,-123°32′17.4123″,0,2,0,0,1154,17382,6505,9510,29667,39066,0,2624,9,2334,87967,0,0
"8",48°22′16.1411″,-123°33′25.1513″,0,0,0,0,2686,17810,14794,20507,32171,99669,0,2145,2807,3535,0,95,0
"9",48°21′31.5438″,-123°34′35.4979″,0,0,0,0,6386,23805,7460,23167,35406,86777,0,6001,6023,1212,0,0,0
"10",48°22′22.8000″,-123°32′5.9999″,0,0,0,0,1149,14528,5389,8020,36009,29570,0,5204,1959,2867,91520,0,0
"11",48°23′11.7224″,-123°32′30.0531″,0,636,0,0,1177,23187,11163,15888,35816,70470,0,3982,2265,3121,28499,0,10
"12",48°21′16.8023″,-123°33′25.8695″,0,22,0,0,10777,13317,12428,19803,63383,65142,0,3659,3997,2359,634,689,0
"13",48°23′28.5940″,-123°32′57.0983″,0,46,0,0,9427,41380,5019,11955,34981,64815,0,6238,3308,5482,13584,0,0
"14",48°22′21.3059″,-123°33′57.7102″,0,253,0,0,3171,24983,9864,10761,32893,105459,0,2356,3400,2915,0,138,0
"15",48°22′50.4664″,-123°31′26.8201″,0,1538,0,0,794,25630,2415,7051,30638,38285,0,3536,1652,1397,83122,0,158
"16",48°24′59.9873″,-123°38′13.5073″,0,26946,0,0,0,0,13035,866,39460,111229,0,238,3312,1130,0,0,0
"17",48°21′14.8168″,-123°32′48.1251″,11131,7238,15798,114,6662,11576,10323,17692,59903,34854,50,10729,4591,5429,0,0,130
"18",48°22′14.4895″,-123°31′52.2609″,27973,0,8335,1326,226,4537,8728,9181,26158,63279,0,715,0,617,45148,0,0
"19",48°23′23.4576″,-123°30′14.2268″,0,0,3,272,1415,40941,7329,19704,33369,61106,0,5480,5923,8790,11866,0,0
"20",48°22′45.8311″,-123°33′44.5944″,0,216,0,0,2055,15038,5879,16783,37656,103913,0,2954,2645,2497,6437,133,17
