Id,lat_dms,long_dms,HISTO_1,HISTO_2,HISTO_5,HISTO_6,HISTO_7,HISTO_8,HISTO_9,HISTO_10,HISTO_11,HISTO_12,HISTO_13,HISTO_14,HISTO_15,HISTO_16,HISTO_17,HISTO_18,HISTO_22,HISTO_24
1,48°24′19.8701″,-123°33′21.3825″,0,984,0,0,9803,51910,20399,51117,173481,446210,0,9968,12024,8624,0,366,0,0
2,48°23′47.2428″,-123°34′6.3267″,0,900,0,0,6921,26640,45283,54832,159119,458017,0,2844,4923,2631,0,22785,0,0
3,48°23′29.5436″,-123°34′34.1539″,0,14283,0,0,9613,33973,22989,53131,136541,495285,0,5909,5877,6069,0,287,906,0
4,48°22′46.7819″,-123°35′9.5595″,0,4751,0,0,5877,32784,34951,40683,127902,515581,0,4682,12930,4541,0,194,8,0
5,48°23′3.5567″,-123°33′16.2336″,0,1498,0,0,5581,49674,21725,41051,166158,393363,0,3151,1608,2862,96558,105,535,1012
6,48°22′11.3156″,-123°32′1.6113″,122531,1669,17727,1600,2610,40418,21779,24285,102995,131481,0,9768,6309,5739,295722,0,253,0
7,48°22′27.3518″,-123°32′17.4123″,0,1560,0,0,6578,73944,21136,35017,124911,138150,0,17313,9517,11481,345214,0,59,0
8,48°22′16.1411″,-123°33′25.1513″,0,54,0,0,8682,63372,46590,59641,133808,399710,0,8906,11928,12727,38956,508,0,0
9,48°21′31.5438″,-123°34′35.4979″,0,54,0,0,20243,75245,30306,67663,149628,402161,0,13886,14522,3775,7180,226,0,0
10,48°22′22.8000″,-123°32′5.9999″,0,3157,347,105,2924,50612,23292,32072,123895,196949,0,8787,5059,7308,330114,0,255,0
11,48°23′11.7224″,-123°32′30.0531″,0,636,0,0,6304,101288,21655,36550,115572,269384,0,13637,10912,19246,189687,0,10,0
12,48°21′16.8023″,-123°33′25.8695″,0,22,0,0,22644,39996,33059,62951,230305,359094,0,8649,13714,8545,4894,1032,0,0
13,48°23′28.5940″,-123°32′57.0983″,0,3899,0,0,25191,112067,21292,46767,154280,251275,0,18379,14734,16657,120297,22,3,0
14,48°22′21.3059″,-123°33′57.7102″,0,1675,0,0,11885,78916,38352,67929,136510,415351,0,11042,10541,11907,0,690,107,0
15,48°22′50.4664″,-123°31′26.8201″,76396,2310,8728,234,2474,97150,14363,36711,134338,166732,4,12563,9657,10923,211941,0,361,0
16,48°24′59.9873″,-123°38′13.5073″,0,28164,0,0,971,4141,40951,3313,150701,549144,0,316,5630,1533,0,14,0,0
17,48°21′14.8168″,-123°32′48.1251″,175344,7340,26665,5450,19783,32609,32195,45873,207898,172764,85,20503,13897,12348,11852,159,130,0
18,48°22′14.4895″,-123°31′52.2609″,218199,1669,18923,1621,1514,32180,16121,23507,94651,172253,8,7024,3791,4497,188667,0,253,0
19,48°23′23.4576″,-123°30′14.2268″,56428,0,4461,15989,10002,146646,36989,70352,145593,171421,0,34899,25632,37996,28507,0,0,0
20,48°22′45.8311″,-123°33′44.5944″,0,1676,0,0,6992,47256,22662,57874,139951,475566,0,8480,9012,8350,6437,600,21,0
