Id,lat_dms,long_dms,HISTO_7,HISTO_8,HISTO_9,HISTO_10,HISTO_11,HISTO_12,HISTO_14,HISTO_15,HISTO_16,HISTO_17,HISTO_18
"1",48°24′19.8701″,-123°33′21.3825″,10,148,70,190,1505,5928,0,0,0,0,0
"2",48°23′47.2428″,-123°34′6.3267″,125,0,102,580,1323,5697,9,0,0,0,9
"3",48°23′29.5436″,-123°34′34.1539″,140,127,647,1052,1308,3857,130,524,9,0,57
"4",48°22′46.7819″,-123°35′9.5595″,5,379,45,359,804,6257,0,0,0,0,0
"5",48°23′3.5567″,-123°33′16.2336″,7,209,177,253,2190,5018,0,0,0,0,0
"6",48°22′11.3156″,-123°32′1.6113″,0,619,319,380,1203,3029,0,0,0,2302,0
"7",48°22′27.3518″,-123°32′17.4123″,3,2411,580,604,1829,2121,15,0,178,105,0
"8",48°22′16.1411″,-123°33′25.1513″,37,472,514,839,1297,4442,25,0,217,0,7
"9",48°21′31.5438″,-123°34′35.4979″,194,1622,258,926,1039,2720,207,680,209,0,0
"10",48°22′22.8000″,-123°32′5.9999″,22,609,422,645,1082,3437,185,365,0,1078,0
"11",48°23′11.7224″,-123°32′30.0531″,74,246,1168,1050,2748,2239,285,0,40,0,0
"12",48°21′16.8023″,-123°33′25.8695″,462,241,909,1072,1812,2934,104,0,280,0,33
"13",48°23′28.5940″,-123°32′57.0983″,857,1028,469,335,1562,3006,287,306,0,0,0
"14",48°22′21.3059″,-123°33′57.7102″,47,4192,385,261,843,2062,60,0,0,0,0
"15",48°22′50.4664″,-123°31′26.8201″,0,51,0,43,881,2045,0,0,0,4828,0
"16",48°24′59.9873″,-123°38′13.5073″,0,0,400,187,2821,3348,81,995,18,0,0
"17",48°21′14.8168″,-123°32′48.1251″,431,907,212,1088,2887,1154,266,594,311,0,0
"18",48°22′14.4895″,-123°31′52.2609″,15,415,541,933,2470,3105,3,0,0,369,0
"19",48°23′23.4576″,-123°30′14.2268″,37,1714,157,1012,1354,1697,233,597,330,719,0
"20",48°22′45.8311″,-123°33′44.5944″,16,31,58,1661,3860,2220,4,0,0,0,0
